# list of object assets to load in this scene
[ASSETS]
Resources\Data\Entities\mario.txt
Resources\Data\Entities\solid_platform.txt
Resources\Data\Entities\question_block.txt
Resources\Data\Entities\effects.txt
Resources\Data\Entities\background-1-1.txt
Resources\Data\Entities\hard_block.txt
Resources\Data\Entities\color_block.txt
Resources\Data\Entities\pipe.txt
Resources\Data\Entities\piranha_plant.txt
Resources\Data\Entities\fireball.txt
Resources\Data\Entities\items.txt
Resources\Data\Entities\enemies.txt

#coin.txt
#cloud.txt
#brick.txt

[PROPERTIES]
#type:
#	1 = map length
#	2 = map height
#type	value
1	2816
2	0

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 
#new type: 
#	0 = Mario
#	10 = Solid Platform
#	20 = Empty Question Block
#	21 = Coin Question Block
#	22 = Level Up Question Block
#	30 = Background
#	40 = Hard block
#	50 = Color block
#	60 = Pipe
#	61 = Normal piranha plant pipe
#	62 = Fire piranha plant pipe
#	71 = Goomba spawner
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	120	150

#COLOR BLOCK
#type	x	y	cWidth	cHeight	width	height	color
#color: 0-RED 1-BLUE 2-GREEN 3-WHITE 4-ORANGE
30	656	48	40042	16	16	1	1
30	672	48	40043	16	16	1	1
30	640	64	40044	16	16	1	1
30	656	64	40045	16	16	1	1
30	672	64	40046	16	16	1	1

30	720	80	40041	16	16	1	1
30	736	80	40042	16	16	1	1
30	752	80	40042	16	16	1	1
30	768	80	40042	16	16	1	1
30	784	80	40043	16	16	1	1
30	720	96	40044	16	16	1	1
30	736	96	40045	16	16	1	1
30	752	96	40045	16	16	1	1
30	768	96	40045	16	16	1	1
30	784	96	40046	16	16	1	1

30	1168	48	40041	16	16	1	1
30	1184	48	40042	16	16	1	1
30	1200	48	40043	16	16	1	1
30	1168	64	40044	16	16	1	1
30	1184	64	40045	16	16	1	1
30	1200	64	40046	16	16	1	1

30	1648	48	40041	16	16	1	1
30	1664	48	40042	16	16	1	1
30	1680	48	40042	16	16	1	1
30	1696	48	40042	16	16	1	1
30	1712	48	40043	16	16	1	1
30	1648	64	40044	16	16	1	1
30	1664	64	40045	16	16	1	1
30	1680	64	40045	16	16	1	1
30	1696	64	40045	16	16	1	1
30	1712	64	40046	16	16	1	1

30	2320	64	40041	16	16	1	1
30	2336	64	40042	16	16	1	1
30	2352	64	40043	16	16	1	1
30	2320	80	40044	16	16	1	1
30	2336	80	40045	16	16	1	1
30	2352	80	40046	16	16	1	1

#SHAPED CLOUD

#CARD FRAME
30	2683	107	40071	26	26	1	1

#HARD BLOCK
40	1504	112
40	1520	112

40	1568	176
40	1584	176
40	1600	176
40	1584	160
40	1600	160
40	1600	144

40	1664	144
40	1664	160
40	1664	176
40	1680	160
40	1680	176
40	1696	176

40	2256	80
40	2272	80

40	2256	144
40	2272	144

#PIPE
#id	x	y	cWidth	cHeight	length	verti	side	enemy
62	352	144	16	16	3	1	0	1

61	1792	160	16	16	2	1	0	0
62	1856	144	16	16	3	1	0	0

60	2256	160	16	16	2	1	3

60	2320	160	16	16	2	1	0

#QUESTION BLOCK
#20	120	128

21	176	128
21	192	128

21	224	80
22	240	80

21	416	96

22	656	160

21	704	128

22	1472	144

#SPAWNER
#id	x	y	direction
71	232	183.9	0

#COIN
#4	100	120
#4	120	120
#4	140	120
#4	160	120
#4	180	120


#4	100	100
#4	120	100
#4	140	100
#4	160	100
#4	180	100

#4	100	80
#4	120	80
#4	140	80
#4	160	80
#4	180	80




#Platform
#5 	100	180	16	15	32	51000	52000	53000
#5	140	140	16	15	26	51000	52000	53000

#Portal 
#50	200	160	216	180	1

